"Reference","Value","Footprint","Datasheet","Qty"
"C1, C2","1uF","Capacitor_SMD:C_0805_2012Metric","~","2"
"C3","10uF","Capacitor_SMD:C_0805_2012Metric","~","1"
"C4","680pf","Capacitor_SMD:C_0805_2012Metric","~","1"
"C5","270pf","Capacitor_SMD:C_0805_2012Metric","~","1"
"J1","Headers","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~","1"
"JP1","SI Bridge","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm","~","1"
"JP2","AD0 Bridge","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","1"
"JP3","AD1 Bridge","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","1"
"JP4","SCL Bridge","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","1"
"L1","MA5532-AE","MA5532:MA5532-AE","https://github.com/gamblor21/ThunderBuddy/blob/main/ma5532.pdf","1"
"R1-R5","10k","Resistor_SMD:R_0805_2012Metric","~","5"
"U1","AS3935","Package_DFN_QFN:MLPQ-16-1EP_4x4mm_P0.65mm_EP2.8x2.8mm","https://github.com/gamblor21/ThunderBuddy/blob/main/AS3935_Data_Sheet-1890433.pdf","1"
